start	end	text
908760	913060	teachers of the year Lauren Sage from the Kansas City Public Schools.
913180	918900	Trandis Strand from the Belleville Public Schools Susan Rogers from the
918900	924420	Derby Public Schools. Tracy Betts from Winter Public Schools Jason Peters from
924420	930660	the Heston Public Schools. Julie Smith from the Santa Fe public trails I'm sorry
930660	935220	Santa Fe trails public schools and Troy St. Clair to peak of public schools. I
935220	939940	move we adopt the resolutions and my words be spread across the journal. All
940020	945580	those in favor signify by saying aye. Aye. Opposed no. The ayes have it the
945580	950140	motion is adopted without objection so ordered.
969940	991940	All those in favor say aye.
991940	995940	Final action on bills and concurrent resolutions the clerk will read.
995940	1001660	HB 2413 by Representative Swarchweiger and Steele an act concerning crimes
1001660	1005420	punishment and criminal procedure relating to theft providing that theft of
1005420	1009780	livestock or implements of husbandry is a severity level five non-person felony
1009780	1013220	allowing for the forfeiture of certain property used in the commission of theft
1013220	1018280	of an implement of husbandry. This constitutes final action on House Bill
1018280	1023540	2413 the clerk will open the roll and you may record your vote.
1025940	1039260	I've all members had an opportunity to record their vote. The clerk will close
1039260	1047900	the roll and does any member desire to explain his or her vote does any member
1047900	1057020	desire to change his or her vote in 10 how hands call the houses or the door
1057020	1063060	men will close the doors members will be in their seats and the clerk will call
1063060	1068620	the roll. Alkala Burke West bow high Bryce carpenter will Chauncey how how
1068620	1077060	well Halbertson Proctor say Pinkton Simmons Tark was singer will born Wilson
1077060	1089340	and win. Representative Proctor votes aye. Representative Carlin votes aye.
1089500	1100460	Representative Perquest votes aye. Representative Saphington votes aye.
1100460	1112620	Representative Will carpenter votes aye. Representative Bryce votes aye.
1112620	1127220	Representative Wilson votes aye. Representative Turk votes aye.
1127540	1142620	Representative Wossinger votes aye. Representative Howe votes aye. How not how
1142620	1149220	actually representing how votes aye so you can get both of them. Representative
1149220	1163540	Wilburn votes aye. Representative Simmons votes aye. Representative Howardton votes aye.
1163540	1169380	Representative Chauncey votes aye.
1210020	1215460	Representative Moseley votes aye.
1215460	1241020	Representative Bohai votes aye.
1241020	1250740	Not seeing ten hands call is raised. There are no pictures to be taken of the
1250740	1257140	board if you're taking pictures in the gallery no pictures. Are there any
1257140	1262340	further changes the vote? Seeing none 120 having voted in favor and three
1262340	1267380	against the passage of House Bill 2413 the same having received a constitution
1267380	1272900	majority the bill is hereby declared passed. The clerk will record the vote.
1282620	1288020	Final action on bills and concurrent resolution the clerk will read. HB 2422
1288020	1291380	by Representative Swartz-Figer and that concerning crimes punishment and
1291380	1294660	criminal procedure relating to theft providing the theft of grain as a
1294660	1300080	severity level six non-person felony. This constitutes final action on House
1300080	1309180	Bill 2422 the clerk will open a roll and you may record your vote. As I remember
1309180	1315100	had an opportunity to record their vote the clerk will close the roll. Does any
1315100	1322140	member desire to explain his or her vote? Does any member desire to change his or
1322220	1334380	her vote? Representative Simmons votes aye. Representative Rivas votes aye. Representative
1334380	1341740	Roser votes aye. Are there any further changes the vote? Seeing none
1341740	1347100	10023 having voted in favor and zero against the passage of House Bill 2422
1347100	1350340	the same having received a constitutional majority. The bill is
1350340	1354980	hereby declared passed. The clerk will record the vote.
1359260	1363700	Speaker recognizes Representative Humphreys for a motion to adopt the
1363700	1372380	conference committee report on House Bill 2347. Thank you Mr. Speaker this is
1372380	1377940	House Bill 2347 you all have heard about this it's the crime package from the
1377980	1383980	judiciary committee there are four crimes in here it has to do with the
1383980	1390180	couple changing the culpability of a motor vehicle theft our human trafficking
1390180	1395420	bill which includes buying increasing the penalties for buying sex and also
1395420	1401620	educational and treatment program requirements. The third crime is the
1401620	1406020	criminal use of a financial card of a gift card and the last one is the
1406060	1412460	unlawful use of a laser pointer and with that I will stand for questions. Is there
1412460	1416660	discussion? Speaker recognizes Representative Osmond.
1423260	1429060	Thank you very much Mr. Speaker. We discussed this in last week in
1429060	1437100	conference or in caucus before hand but we didn't get a chance to you really
1437100	1441420	go through so yeah it the carry of the bill did an excellent job explaining it
1441420	1446740	it's theft it's buying sexual relations both of those passed so 40 to 0 on buying
1446740	1453980	sexual relations it was 121 to 1 on theft of the motor vehicle it was for
1453980	1459700	financial use of gift cards it was 123 to 0 as the original amount and an
1459700	1464020	unlawful use of a laser pointer it was 40 to 0 in the Senate and it was 123 to
1464020	1468780	0 in the in the House. I will say there was a question that was brought up the
1468780	1474020	question of about use on law enforcement so if it is used against law
1474020	1478340	enforcement engaged in the performance of an officer's duty it will be a class A
1478340	1483940	misdemeanor a class A misdemeanor being up to one year in the county jail or
1483940	1490980	up to and or $2,500 as a fine whether that sways your opinion one way or the
1490980	1495700	other I'll leave that to the body to decide for me I'm in support of the
1495700	1502580	entire CCR and would urge your support. Thank you. Any further discussion?
1502580	1509020	Representative Humphrey you may close. Thank you Mr. Speaker I'm to adopt the
1509020	1514460	conference committee report on HB 2347. This constitutes final action on House
1514460	1522420	Bill 2347 a clerk will open the roll and you may record your vote. As I remember
1522420	1527940	had an opportunity to record their vote the clerk will close the roll. Does
1527940	1533740	any member desire to explain his or vote? Does any member desire to change his
1533780	1543100	or her vote? Representative Johnson votes aye. Representative Anderson votes aye. Any
1543100	1548620	further change of votes? Seeing none 119 voting in favor and four against the
1548620	1552360	passage of House Bill 2347 the same having received a constitutional
1552360	1555980	majority the bill is hereby declared passed the clerk will record the vote.
1563740	1570660	Following committee changes I hereby appoint representing Kyle Hoffman to
1570660	1574860	replace representing Susan Humphrey's on the House committee on rules and journal
1574860	1580020	on Wednesday January 28 this appointment expires at the end of the day on January
1580020	1585900	28. I hereby appoint representing Bob Lewis as a chair of House Committee on
1585900	1590180	Rules and Journal on Wednesday January 28 this appointment expires at the end of
1590180	1602740	the day on January 28. Speaker recognizes majority leader
1602740	1607420	craft for a motion to resolve into the committee of the whole. Mr. Speaker I
1607420	1610500	move the House resolve itself into the committee of the whole for the purpose
1610500	1613620	of considering those items another heading of general orders. You've heard the
1613620	1619620	motion all those in favor signify by saying aye. Opposed no. We always have it the
1619620	1623780	motion carries. Speaker appoints representing Proctor to chair the committee
1623780	1626140	of the whole.
1650380	1656300	Good morning body the first item of business is SB 244 for the purpose of
1656300	1662260	carrying SB 244. The chair recognizes representative Humphrey's.
1671700	1676380	Thank you Mr. Chair there were committee amendments and I moved to adopt the
1676380	1688220	committee report. You heard the motion. You heard the motion all in favor
1688220	1695820	signify by saying aye. Opposed no. Motion passes. The report is adopted.
1695820	1704540	Please continue. Thank you Mr. Chairman. So I want to talk about Senate Bill 244 it
1704540	1711460	has two parts to it. In section three of the bill it is clarifying the legislative
1711460	1718460	intent concerning the motor vehicle driver's license act. It defines gender to mean
1718460	1727460	the same as defined in KSA 77-207. New section two clarifies that the sex on
1727460	1734060	the birth certificate matches the definition and 77-207. In section five
1734060	1742660	which amends 65-28 comma 137 a it's clarified that sex or gender mean
1742660	1749340	biological sex either male or female at birth. Because of court cases that have
1749340	1755140	come up there needs to be clarification and this section of the bill is needed to
1755180	1761220	clarify what was the legislative intent when we pass this bill. That's the first
1761220	1767620	part of the bill. The second part creates a law requiring the designation of
1767620	1774300	multiple occupancy private spaces in public buildings or used by only one
1774300	1780820	sex and it creates enforcement mechanisms for that. It includes requirements and
1780860	1786340	it includes a lot of exceptions and it also includes the enforcement measures
1786340	1792980	if someone wanted to bring a case. It does not prohibit a single occupancy
1792980	1800540	space. That is the overview of the bill. I have a feeling we'll get into the
1800540	1806780	details and with that I will stand for questions. Does any member wish to
1806780	1811940	speak to the bill? The chair recognizes representative Osmond.
1818260	1825780	Thank you very much Mr. Chair. There are many people here today that will speak
1825780	1831020	knowledgeably and passionately about this topic and about what's included in
1831020	1836740	the bill but I'm a rules guy and I want to talk about the rules. I want to talk
1836780	1840620	about policies and procedures and what's fair and what's definitely not fair and
1840620	1848780	this bill is not fair. Procedurally it is the absolute worst bill I have ever
1848780	1854100	heard in my time in the Kansas legislature. It was introduced on the
1854100	1859980	House floor first day of session January 12th. That afternoon about one
1859980	1864580	o'clock two o'clock and we've been to judiciary and in a planning committee at
1864580	1874060	about 3.58 p.m. they published the agenda to add what was then HB 2426 to a hearing
1874060	1883140	less than 24 hours after publication of the agenda. Less than 24 hours and it
1883140	1887980	was done with one purpose and one purpose only to ensure that the absolute
1888020	1893820	least number of people were available as opponents to this bill and that they
1893820	1898980	were unaware that there would even be a hearing. No one wanted to hear upon a
1898980	1905620	testimony on this bill. Nevertheless they received over 200 pieces of
1905620	1911500	opponent testimony. So much so we couldn't even review the testimony prior to the
1911500	1915340	hearing. We couldn't even see it. It wouldn't be uploaded into what is the
1915340	1920660	best drive our internal drive system to review documentation until two days
1920660	1929740	after the hearing. Even today even today as we debate the bill the
1929740	1935260	testimony I do not believe is publicly available for anyone in the gallery to
1935260	1938180	view and read.
1938180	1945780	Flash forward a week and a half and with no warning we work the bill on Monday
1945780	1951420	the 26th. They introduce and pass three separate amendments each one designed to
1951420	1958260	take away the public's right of notice and ability to fight back. First amendment
1958260	1964380	please keep the conversations and sidebars to a minimum please continue thank you
1964380	1970620	Mr. Chair. First one is they moved the timeline a passage from July 1st of
1970620	1975780	2026 to the Kansas Register. In other words immediately once we pass this bill
1975780	1984420	it effectively becomes law. They added a completely unrelated portion to include
1984420	1989300	the regulation of bathrooms and I want to tell you why this is unrelated. We
1989300	1992980	challenged your maintenance and it was denied but I'm going to renew unofficially
1992980	1997980	my call that for germaneness because of how this bill came about in its own
1997980	2006300	place. This bill came about because of in 2024 we passed the Women's Bill of
2006300	2013300	Rights and we said up here this is a bad bill it's going to be challenged legally
2013300	2019740	and it was it was challenged and it went through the trial court they sided with
2019740	2027580	the AG it went to the appellate court and the appellate court had the most scathing
2027580	2034500	smackdown of the of the attorney general I've ever seen. It is burns my hands even
2034500	2045500	touched the document. They effectively said to him hey if you're going to make a claim
2045500	2050780	you need to have evidence and if you need if you're going to make a cause
2050780	2056740	that there's harm you have to prove up your case in some capacity this isn't
2056740	2064260	even law 101 this is freshman year debate 101 this is going back to essays
2064260	2068380	that you had in your sixth grade class where was a third three paragraph essay
2068380	2074260	where you actually showed what your what your stance was with proof that's
2074300	2082660	what they needed and that AG couldn't even provide that there was no harm
2082660	2089100	available to this and to deal with this and the third thing is this there is no
2089100	2093980	fiscal note and I want to point this out there is no fiscal note on this because
2093980	2100300	of the amendments that we added to this to this document including moving it over
2100300	2105700	to SB 4244 there's not a fiscal note there will never be a fiscal note we are
2105700	2115300	talking about modifying immediately regulations and physical bathrooms across
2115300	2123820	every municipality county school board public library police department across
2123820	2130140	the state of Kansas and we do not know how long it will take to implement how
2130180	2135460	much it's going to cost we have no fiscal note we will never get a fiscal note and
2135460	2139140	the reason we will never get a fiscal note is because of the third thing we
2139140	2144540	moved this bill into Senate bill 244 that is a bill that has already been passed
2144540	2149780	and it means procedurally because it's already been passed we can bypass the
2149780	2156940	democratic process and we can take this bill that we're working on today can
2156940	2160700	cur it over to the Senate and throw it up to the governor's office to to vote
2160700	2167980	on to to either accept or veto there's no debate in the Senate there's no public
2167980	2175420	input in the Senate there's no testimony from your municipalities that you live
2175420	2181980	in that are going to have to deal with the fallout and ramifications of twenty
2182020	2187500	five thousand dollars to 125 thousand dollars every single time they screw up
2187500	2194580	on a bill that gets implemented immediately we need input from the
2194580	2203020	public and by the way if you want to try to follow this in this in the system you
2203020	2207260	can go back you can look at Senate bill 244 which still lists is
2207620	2212980	introduced by senator Owens as if that's what we're talking about here today and
2212980	2220740	if you try to go you go oh there was a hearing on HB 24 26 what's going on
2220740	2226740	with that thing right now you go online and the last the last thing is Tuesday
2226740	2232460	January 13th hearing that's it that's what the public knows there was a
2232500	2243860	hearing on January 13th and that is the end of the story for that bill we need
2243860	2248140	input from the public we need input for municipalities we need a fiscal note to
2248140	2253500	tell us how much this is going to cost the set state in liquid damages fines and
2253500	2258580	fees for non-compliance in the law this law could go into effect within a month
2258580	2265300	and how much will it cost every taxpayer in the state of Kansas we don't
2265300	2275300	know I'd like to know so I make a motion to refer SB 244 back to judiciary for
2275300	2282860	the purpose of reverting Senate bill 244 back to HB 2426 that way if we pass
2282860	2287540	this in the house at least we will have public input from the Senate and at least
2287540	2290860	we will have a fiscal note
2291420	2317900	this is a debatable motion does anybody wish to speak to the motion okay the
2317900	2326220	chair recognizes representative Carmichael thank you mr. chair I'm sorry to
2326220	2329940	those of you in the gallery the mics a bit sensitive this morning I'll try to
2329940	2338260	stand back all this motion does is re-establish what in many bodies called
2338260	2345580	regular order bills are supposed to be noticed to the public bills are supposed
2345620	2351660	to have hearings the public's input is supposed to be received and heard and
2351660	2358300	then bills are supposed to be debated on the floor then they go to the chamber
2358300	2367500	for the very same process through a crafty procedural device what has been
2367500	2374100	attempted here is to short circuit regular order to deny the public the
2374180	2381900	right to comment on a bathroom bill it's been deliberately designed in a way so
2381900	2388140	that the public had no notice of the filing of a bathroom bill the public had
2388140	2395140	no opportunity to testify either in person or in writing on a bathroom bill
2395140	2400340	presumably it's going to be reported out of this house and it's going to go
2400340	2405380	over to the Senate on a motion to concur with a shell bill following a
2405380	2410940	gut and go amendment in committee that will effectively once again deny the
2410940	2416100	public the opportunity to be heard about this important legislation no matter
2416100	2421140	what you think about whether we should keep transgender people's out of bath
2421140	2428020	people out of bathrooms as important as I think that is you certainly ought to
2428020	2435740	defend the rights of your constituents to be heard if you don't agree with
2435740	2442420	your constituents then you go ahead and vote as you wish but most of us listen
2442420	2448900	to our constituents most of us want to hear from our constituents most of us
2448900	2454780	even go knocking on doors to talk to our constituents but if you think you know
2454780	2462700	better than just shortcut regular order cut the public out of the discussion
2462700	2468580	don't worry about how much it costs don't worry about the impacts it may have on
2468580	2475180	local governments don't worry about the impacts it may have on children in your
2475180	2480540	district when Harry faced men walk into bathrooms because their birth
2480580	2487060	certificate says they're female just go ahead and do whatever you want but if
2487060	2493180	you want to reestablish legitimacy in this legislature and if you want your
2493180	2497420	constituents to be heard whether you agree with them or not then this is a
2497420	2502980	device to accomplish your goal and I therefore stand in support of the motion
2502980	2508060	thank you mr. Chair do any other members wish to speak to the motion the chair
2508060	2511620	recognizes representative Esau
2515980	2521900	thank you mr. Chair there are people much more eloquent than me on this bill
2521900	2528220	and I didn't intend to talk to it when I went home yesterday but for reasons
2528220	2532380	that have absolutely nothing to do with this bill I ended up in a conversation
2532380	2536900	with some folks and started talking about what we were going to discuss
2536900	2545540	today and I know for some people this might be a brand new bill you've never
2545540	2548660	heard this topic you've never seen it discussed in the legislature but I can
2548660	2552780	tell you it's not new there have been hearings things like this have come up
2552780	2558860	they've had many conversations but the folks that don't come the silent ones
2558860	2563540	are the women who have dealt with assault at some point in their life
2563620	2569460	sometimes at home sometimes out in public sometimes at school they don't want to
2569460	2574740	come and testify and say why they feel safe in women-only spaces they don't
2574740	2577540	want to go through that trauma again they've moved on they'd like to put it
2577540	2584340	behind them but if they are in a place that they believe is for more than one
2584340	2590860	person but only one gender and it's their gender and they feel safe and they hear
2590900	2595620	a male voice in the background the trauma starts all over again I've had
2595620	2600620	folks tell me they won't go out in public they won't go to public pools where
2600620	2605380	they have to go to a locker room that sort of thing for generations we have
2605380	2611100	protected women in women's spaces we need to continue to do that for the women
2611100	2615980	they should not have to come here in mass numbers and tell you that they have
2615980	2620620	been traumatized in order for us to do the right thing this bill doesn't need to
2620620	2624580	go back for us to hear that for us to have the women to come in and tell us
2624580	2632540	their concerns we know if you don't know I'm going to tell you there are people
2632540	2636980	in this chamber who may have told their mother they may have told their grandmother
2636980	2642380	an aunt a friend they never reported that trauma they found a way to get
2642380	2648140	through it on their own they healed from it but they don't want to have to deal
2648140	2651980	with it over and over again not knowing that they are safe and safe places I
2651980	2656260	urge you to not send this bill back to committee let's vote on it today let's
2656260	2663900	have this debate as we're having right now and vote the bill out I believe this
2663900	2667900	bill is ready to be passed and there's no reason to debate it further thank you
2667900	2670340	for your time
2670420	2675500	sir any further discussion on the motion the chair recognizes representative
2675500	2686020	Haskins thank you mr. chair and hello studio audience up there this is going to
2686020	2690580	be an exciting day but we can we can curve this and end it and go on to
2690580	2696740	lunch if we look at this motion seriously now for those that are new to the chamber
2696740	2700580	this is your first time around there are some rules that we have to follow one
2700580	2707540	of those rules that is very specific is that you need to keep in mind that nobody
2707540	2716900	in this chamber can vote for you so if you are guided and directed to follow suit
2716900	2722580	keep in mind that you have to make the decision based upon your constituents
2723140	2730580	and it upsets me when we rush things through that deal with my constituents
2730580	2736100	and my constituents they don't get a say and that's what happened here
2736740	2741460	winter winter chicken dinner you guys read the rules and you found a way to make this work
2742820	2749300	but if you're fine with understanding that you didn't have a voice in representing then you don't
2750180	2757220	vote for this motion you continue on keep in mind if we continue on the hounds are coming out
2757220	2762820	and we're going to have a good debate and talk today so I leave that leave you that with an
2762820	2771780	incentive last thing I will say is this i'm looking for a new car car broke down
2772740	2777220	I will never buy a car without knowing how much it costs
2779060	2788340	it really annoys me when someone buys a car for me spends my money and doesn't tell me how much it
2788340	2796980	costs folks we represent individuals who are paying our salary from their tax dollars to have them
2797860	2810020	be represented by informed honest debate with integrity if you want this debate do it right
2811140	2819140	and the thing is this is a trend I don't know what's going on yesterday we've had committee
2819140	2824660	meetings without information we didn't we heard a bill we didn't have a proponent just because
2824660	2832340	we have the power to do it one day we get you can look back and you can see the
2832340	2836740	harms that we have created and ask yourself that I really do my job representing
2837620	2844820	my district the people that voted for me not the people in this room so take time take this serious
2844820	2851700	we can have the debate you can have your bill do the homework and let the people be heard
2851700	2854740	support this motion let's go to lunch have a great day
2856420	2860980	city other member wish to speak to the motion the chair recognizes representative car
2868900	2869780	thank you mr chair
2872740	2875380	would the carrier of the motion please stand for a question
2877700	2880900	thank you very much sorry about that yes i will oh well there you are
2882180	2889540	um my question is essentially why are you bringing this this motion why is this
2891540	2897620	important to do the motion is important to do because i believe in policies i believe in
2897620	2903380	a proper procedure and proper procedure is number one public its input and number two
2904100	2911380	we have a full um process that includes the senate i know a number of us don't wish to
2911380	2915140	include the senate but they were a bicameral legislature
2916580	2920180	we need to have a full senate hearing period
2923220	2930100	so was this at all ever about um about women's space
2931700	2938580	no i mean the original bill itself was it basically the attorney general screwed up
2938580	2943700	at the appellate level and then instead of going back to the trial court like he was instructed
2943700	2948260	to do he ran crying to the legislature to fix his problem for us and that's what we're trying
2948260	2955140	to do that's what the original bill was for and one last question um as a legislator
2955780	2965300	do you feel as though um yourself or the other legislators um have the right to spend the people's
2965300	2971460	money um and not have any idea how much of the people's money we're going to spend
2972580	2984420	um not be certain what the impact is going to be and not inform them in any way prior to that
2984420	2991540	we're going to spend their money the answer is no to all of those counts thank you no further
2991540	2998820	questions let me say this um i certainly qualify as a man
3001300	3004420	however i don't speak for all men
3007380	3017780	and regardless of how personal something may be if it means enough to you you will come
3018420	3024420	wherever that might be and speak for yourself or those that you love
3026500	3033300	so to say that we know this is happening i can tell you a whole lot of things that i feel like
3033300	3039540	are happening but there are many of you in the room that would look at me and say no
3040340	3046180	those things aren't happening we've been there before
3048580	3054660	um i stand in support of this of this motion i just don't see how in good faith
3060260	3068900	we can say that we represent the people and we agree to come in this building in this hall
3070100	3078740	and arbitrarily spend their money without ever asking them anything there are lots of other
3078740	3085780	things that we could spend the money on um not to know the amount of a fiscal note
3087060	3093540	not to have any idea how much something's going to cost you know it's funny because i've been on
3093540	3098820	dates before where that was the case i had no idea what this was going to cost
3100100	3105220	i was just crossing my fingers and open like heck i had enough in my pocket to take care of it
3108660	3114340	fortunately i never dated outside of outside of my income bracket so
3118580	3126420	i was always able to pay that bill however the income brackets of of our constituents
3126500	3136100	we may not be so in tune with so i stand in support of this motion um without even getting into how
3136100	3147700	i feel um about how wrong the bill itself is whatever we do in this body we should certainly do it
3147700	3158820	with the open knowledge of our constituency and the rest of the residents of Kansas in mind
3158820	3164260	and if they don't know i don't see how we can make decisions for them thank you
3166420	3170740	do any other members wish to speak to the motion the chair recognizes represent mcdonald
3170740	3180660	thank you miss thank you mr chair you know i i've knocked a lot of doors trying to get here
3181300	3186260	and and years with prior i've knocked a lot of doors trying to get other people here so that i got
3186260	3193460	the representation and on all my doors this this this topic has never come up but in most of my
3193460	3200260	doors in most of my doors property tax comes up and i just would like to give you all on the other
3200260	3209140	side of an aisle a chance to really take a step back and address property tax by taking this back
3209140	3216340	to committee and reconsidering it's very clear to me that the costs associated with this will fall
3216340	3223220	directly to our municipalities to our school districts to our community colleges to our universities
3223780	3230660	and i don't see any kind of um note in here about how we're going to allocate any money
3230660	3237380	to have this all happen right we're we're instantly going to have to have construction done on a
3237380	3244260	bunch of bathrooms i i think that this really is a chance for us to speak
3246260	3251220	to put our put our values behind what we're saying and put some action into it so if you really care
3251220	3257700	about property taxes you might want to consider approving this motion so that we can send it back
3257700	3262260	and work on it in committee if this is really our priority then we need to put some dollars with
3262260	3269460	it so that our cities our local taxpayers are not burdened with extra construction costs that
3269460	3276660	we're unexpected that will have to be in place within a month if i'm understanding this correctly
3277140	3282660	so i guess i have a quick question for the carrier of the motion to make sure that i'm
3282660	3293700	understanding correctly thank you for standing for questions so if we send this back to committee
3293700	3298740	there's nothing that would prevent the majority party from bringing it back and debating it at
3298820	3306340	any time correct that's correct so and if this were to go into effect municipalities school
3306340	3312660	districts community colleges universities even our state buildings would all be expected to
3312660	3319860	conform upon publication of the register that is correct yes okay at least that that is my
3319860	3325300	understanding is that law goes into effect in publication of the Kansas register and then
